filename,label
extrastole/127_1306764300147_C2.wav,extrastole
extrastole/128_1306344005749_A.wav,extrastole
extrastole/130_1306347376079_D.wav,extrastole
extrastole/134_1306428161797_C1.wav,extrastole
extrastole/138_1306762146980_B.wav,extrastole
extrastole/140_1306519735121_D.wav,extrastole
extrastole/144_1306522408528_B.wav,extrastole
extrastole/144_1306522408528_B1.wav,extrastole
extrastole/148_1306768801551_B.wav,extrastole
extrastole/151_1306779785624_B.wav,extrastole
extrastole/153_1306848820671_C.wav,extrastole
extrastole/154_1306935608852_D2.wav,extrastole
extrastole/163_1307104470471_C.wav,extrastole
extrastole/179_1307990076841_C.wav,extrastole
extrastole/184_1308073010307_A.wav,extrastole
extrastole/190_1308076920011_C.wav,extrastole
extrastole/191_1308077299430_A.wav,extrastole
extrastole/194_1308139824187_B.wav,extrastole
extrastole/198_1308141739338_B.wav,extrastole
extrastole/198_1308141739338_B1.wav,extrastole
extrastole/202_1308145175747_C1.wav,extrastole
extrastole/202_1308145175747_C2.wav,extrastole
extrastole/207_1308159792607_B.wav,extrastole
extrastole/207_1308159792607_B1.wav,extrastole
extrastole/209_1308162216750_D.wav,extrastole
extrastole/210_1308162935880_C.wav,extrastole
extrastole/213_1308245263936_D.wav,extrastole
extrastole/215_1308245664733_B.wav,extrastole
extrastole/215_1308245664733_B1.wav,extrastole
extrastole/216_1308245839516_A.wav,extrastole
extrastole/216_1308245839516_B.wav,extrastole
extrastole/220_1308250132896_B.wav,extrastole
extrastole/224_1308337157445_B.wav,extrastole
extrastole/229_1308594979317_B.wav,extrastole
extrastole/235_1308749032454_B.wav,extrastole
extrastole/237_1308750231222_A.wav,extrastole
extrastole/237_1308750231222_C.wav,extrastole
extrastole/249_1309202052376_C.wav,extrastole
extrastole/253_1309350256198_B.wav,extrastole
extrastole/261_1309353556003_C.wav,extrastole
extrastole/265_1309367698923_C.wav,extrastole
extrastole/274_1311075637574_A.wav,extrastole
extrastole/275_1310990852160_B.wav,extrastole
extrastole/286_1311170606028_D.wav,extrastole
extrastole/294_1311681084248_C.wav,extrastole
extrastole/298_1311685888900_C.wav,extrastole
murmur/112_1306243000964_A.wav,murmur
extrastole/112_1306243000964_B.wav,murmur
extrastole/112_1306243000964_D.wav,murmur
extrastole/116_1306258689913_A.wav,murmur
extrastole/116_1306258689913_C.wav,murmur
extrastole/116_1306258689913_D.wav,murmur
extrastole/122_1306325762831_C.wav,murmur
extrastole/122_1306325762831_D.wav,murmur
extrastole/156_1306936373241_B.wav,murmur
extrastole/160_1307100683334_A.wav,murmur
extrastole/160_1307100683334_B.wav,murmur
extrastole/161_1307101199321_A.wav,murmur
extrastole/162_1307101835989_A.wav,murmur
extrastole/162_1307101835989_B.wav,murmur
extrastole/164_1307106095995_B.wav,murmur
extrastole/164_1307106095995_C.wav,murmur
extrastole/165_1307109069581_C.wav,murmur
extrastole/165_1307109069581_C2.wav,murmur
extrastole/171_1307971016233_D.wav,murmur
extrastole/171_1307971016233_D1.wav,murmur
extrastole/171_1307971016233_E.wav,murmur
extrastole/185_1308073325396_B.wav,murmur
extrastole/185_1308073325396_C.wav,murmur
extrastole/193_1308078104592_B.wav,murmur
extrastole/193_1308078104592_C.wav,murmur
extrastole/193_1308078104592_C1.wav,murmur
extrastole/195_1308140095331_A.wav,murmur
extrastole/195_1308140095331_C.wav,murmur
extrastole/195_1308140095331_C1.wav,murmur
extrastole/196_1308141034858_B.wav,murmur
extrastole/196_1308141034858_C.wav,murmur
extrastole/197_1308141235553_A.wav,murmur
extrastole/197_1308141235553_C.wav,murmur
extrastole/197_1308141235553_D.wav,murmur
extrastole/200_1308144251434_C.wav,murmur
extrastole/200_1308144251434_D.wav,murmur
extrastole/203_1308162026258_B.wav,murmur
extrastole/203_1308162026258_C1.wav,murmur
extrastole/203_1308162026258_D.wav,murmur
extrastole/204_1308159229275_B.wav,murmur
extrastole/211_1308163238707_C.wav,murmur
extrastole/223_1308337062581_D.wav,murmur
extrastole/239_1309195730333_B.wav,murmur
extrastole/239_1309195730333_C.wav,murmur
extrastole/240_1309196119795_B.wav,murmur
extrastole/240_1309196119795_C.wav,murmur
extrastole/240_1309201366049_B.wav,murmur
extrastole/242_1309197394064_B.wav,murmur
extrastole/242_1309197394064_D.wav,murmur
extrastole/244_1309198148498_B.wav,murmur
extrastole/245_1309200438094_B.wav,murmur
extrastole/248_1309201683806_A.wav,murmur
extrastole/248_1309201683806_C.wav,murmur
extrastole/254_1309350589009_A.wav,murmur
extrastole/254_1309350589009_A1.wav,murmur
extrastole/254_1309350589009_C.wav,murmur
extrastole/254_1309350589009_D.wav,murmur
extrastole/276_1311162716489_C.wav,murmur
extrastole/281_1311165683454_A.wav,murmur
extrastole/281_1311165683454_B.wav,murmur
extrastole/281_1311165683454_D.wav,murmur
extrastole/287_1311170903290_C.wav,murmur
extrastole/288_1311164615284_D.wav,murmur
extrastole/292_1311185449649_B.wav,murmur
extrastole/292_1311185449649_C.wav,murmur
extrastole/293_1311680805936_B1.wav,murmur
normal/103_1305031931979_B.wav,normal
normal/103_1305031931979_D1.wav,normal
normal/103_1305031931979_D2.wav,normal
normal/103_1305031931979_D3.wav,normal
normal/106_1306776721273_B1.wav,normal
normal/106_1306776721273_C1.wav,normal
normal/106_1306776721273_C2.wav,normal
normal/106_1306776721273_D1.wav,normal
normal/106_1306776721273_D2.wav,normal
normal/107_1305654946865_C1.wav,normal
normal/109_1305653646620_C.wav,normal
normal/113_1306244002866_D.wav,normal
normal/115_1306259437619_C.wav,normal
